strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
SWEEPREV_guard,2025-10-17 12:00:00,BUY,105690.4,102561.21,110533.07,110533.07,2025-10-20 04:00:00,TP,4812.67,SWEEPREV_L
SWEEPREV_guard,2025-10-21 20:00:00,SELL,111865.1,115039.56,109113.54,109113.54,2025-10-21 20:00:00,TP,2721.56,SWEEPREV_S
SWEEPREV_guard,2025-10-29 20:00:00,BUY,110655.8,108550.96,113557.35,108550.96,2025-10-30 04:00:00,SL,-2134.84,SWEEPREV_L
SWEEPREV_guard,2025-10-31 00:00:00,BUY,108318.6,105351.49,111928.24,105351.49,2025-11-03 16:00:00,SL,-2997.11,SWEEPREV_L
SWEEPREV_guard,2025-11-04 12:00:00,BUY,104553.4,102691.73,107981.1,102691.73,2025-11-04 16:00:00,SL,-1891.67,SWEEPREV_L
SWEEPREV_guard,2025-11-05 00:00:00,BUY,101468.8,97914.83,107039.06,101874.9,2025-11-07 00:00:00,TIME,376.1,SWEEPREV_L
SWEEPREV_guard,2025-11-11 04:00:00,SELL,106451.6,108372.37,103669.73,103669.73,2025-11-11 12:00:00,TP,2751.87,SWEEPREV_S
SWEEPREV_guard,2025-11-14 00:00:00,BUY,99611.5,97054.11,103124.62,97054.11,2025-11-14 04:00:00,SL,-2587.39,SWEEPREV_L
SWEEPREV_guard,2025-11-14 12:00:00,BUY,96123.0,94650.04,101828.3,94650.04,2025-11-14 12:00:00,SL,-1502.96,SWEEPREV_L
SWEEPREV_guard,2025-11-16 20:00:00,BUY,93193.4,93086.21,100524.78,93086.21,2025-11-16 20:00:00,SL,-137.19,SWEEPREV_L
SWEEPREV_guard,2025-11-18 00:00:00,BUY,92110.5,90157.64,97391.18,90157.64,2025-11-18 00:00:00,SL,-1982.86,SWEEPREV_L
SWEEPREV_guard,2025-11-18 08:00:00,BUY,90393.0,88176.96,96260.25,91840.5,2025-11-20 08:00:00,TIME,1417.5,SWEEPREV_L
SWEEPREV_guard,2025-11-21 16:00:00,BUY,82840.0,79305.46,89484.4,86970.0,2025-11-25 12:00:00,TIME,4100.0,SWEEPREV_L
SWEEPREV_guard,2025-11-27 12:00:00,SELL,91367.0,92660.43,88173.55,92660.43,2025-11-28 12:00:00,SL,-1323.43,SWEEPREV_S
SWEEPREV_guard,2025-12-01 04:00:00,BUY,86365.0,85542.79,90100.02,85542.79,2025-12-01 12:00:00,SL,-852.21,SWEEPREV_L
SWEEPREV_guard,2025-12-03 04:00:00,SELL,92664.5,94040.5,89085.58,94040.5,2025-12-03 20:00:00,SL,-1406.0,SWEEPREV_S
SWEEPREV_guard,2025-12-11 16:00:00,BUY,89879.0,88560.62,91415.12,91415.12,2025-12-11 16:00:00,TP,1506.12,SWEEPREV_L
SWEEPREV_guard,2025-12-19 00:00:00,BUY,85461.5,83615.86,86733.12,86733.12,2025-12-19 00:00:00,TP,1241.62,SWEEPREV_L
SWEEPREV_guard,2025-12-22 16:00:00,SELL,89711.5,91376.71,87545.15,87545.15,2025-12-23 04:00:00,TP,2136.35,SWEEPREV_S
SWEEPREV_guard,2025-12-24 16:00:00,BUY,86999.0,85780.29,88027.25,88027.25,2025-12-26 00:00:00,TP,998.25,SWEEPREV_L
SWEEPREV_guard,2025-12-29 08:00:00,SELL,89520.5,90858.84,87796.75,87796.75,2025-12-29 08:00:00,TP,1693.75,SWEEPREV_S
SWEEPREV_guard,2026-01-02 16:00:00,SELL,89352.0,90554.39,88185.15,90554.39,2026-01-02 16:00:00,SL,-1232.39,SWEEPREV_S
SWEEPREV_guard,2026-01-06 00:00:00,SELL,93891.0,95406.0,90288.15,90713.5,2026-01-08 00:00:00,TIME,3147.5,SWEEPREV_S
SWEEPREV_guard,2026-01-08 16:00:00,BUY,90702.5,88583.11,92439.82,91576.0,2026-01-12 12:00:00,TIME,843.5,SWEEPREV_L
SWEEPREV_guard,2026-01-13 12:00:00,SELL,91914.5,93212.27,91032.05,93212.27,2026-01-13 12:00:00,SL,-1327.77,SWEEPREV_S
SWEEPREV_guard,2026-01-15 00:00:00,SELL,96969.0,98592.84,93208.52,93637.5,2026-01-18 20:00:00,TIME,3301.5,SWEEPREV_S
SWEEPREV_guard,2026-01-20 12:00:00,BUY,91162.0,90082.21,94062.18,90082.21,2026-01-20 12:00:00,SL,-1109.79,SWEEPREV_L
SWEEPREV_guard,2026-01-21 20:00:00,BUY,90290.0,86469.45,91603.95,89238.5,2026-01-23 20:00:00,TIME,-1081.5,SWEEPREV_L
SWEEPREV_guard,2026-02-02 04:00:00,BUY,76220.5,73332.18,85264.2,73332.18,2026-02-03 16:00:00,SL,-2918.32,SWEEPREV_L
SWEEPREV_guard,2026-02-19 16:00:00,BUY,66369.0,65093.38,67526.82,67526.82,2026-02-20 04:00:00,TP,1127.82,SWEEPREV_L
SWEEPREV_guard,2026-02-24 00:00:00,BUY,64631.0,63288.88,66609.3,63288.88,2026-02-24 04:00:00,SL,-1372.12,SWEEPREV_L
SWEEPREV_guard,2026-02-24 16:00:00,BUY,63986.5,61911.21,65955.38,65955.38,2026-02-25 00:00:00,TP,1938.88,SWEEPREV_L
SWEEPREV_guard,2026-02-26 00:00:00,SELL,68001.5,70738.84,65493.3,65493.3,2026-02-27 16:00:00,TP,2478.2,SWEEPREV_S
SWEEPREV_guard,2026-03-02 20:00:00,SELL,68999.5,70816.59,67268.48,67268.48,2026-03-03 08:00:00,TP,1701.02,SWEEPREV_S
SWEEPREV_guard,2026-03-13 04:00:00,SELL,71428.0,72563.68,70127.4,72563.68,2026-03-13 08:00:00,SL,-1165.68,SWEEPREV_S
SWEEPREV_guard,2026-03-13 16:00:00,SELL,71861.5,74516.04,70499.4,74516.04,2026-03-16 12:00:00,SL,-2684.54,SWEEPREV_S
