strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gated_reason_at_entry
KRONOS_S97_SNAP_SCALPER,2026-05-26T07:34:00+00:00,BUY,4526.265,4522.14,4528.17,4521.89,2026-05-26T07:38:00+00:00,SL,-4.375,-8.75,"quiet_fade: 7.57h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T07:39:00+00:00,BUY,4523.44,4517.26,4526.48,4526.23,2026-05-26T07:43:00+00:00,TP,2.79,5.58,"quiet_fade: 7.65h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T08:09:00+00:00,BUY,4533.33,4528.32,4535.72,4528.07,2026-05-26T08:13:00+00:00,SL,-5.26,-10.52,"quiet_fade: 8.15h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T08:14:00+00:00,BUY,4527.895,4520.18,4531.8,4519.93,2026-05-26T08:34:00+00:00,SL,-7.965,-15.93,"quiet_fade: 8.23h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T08:35:00+00:00,BUY,4521.805,4516.51,4524.36,4524.11,2026-05-26T08:42:00+00:00,TP,2.305,4.61,"quiet_fade: 8.58h UTC, vol=LOW, d1=bearish"
SESSION_BREAKOUT,2026-05-26T13:54:00+00:00,SELL,4515.975,4527.615,4499.14,4505.47,2026-05-26T16:54:00+00:00,TIME,10.505,21.01,"session_vol: in window (13.90h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-28T07:54:00+00:00,SELL,4383.565,4396.31,4365.07,4396.56,2026-05-28T09:21:00+00:00,SL,-12.995,-25.99,"session_vol: in window (7.90h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-28T14:49:00+00:00,BUY,4473.675,4420.87,4552.26,4508.41,2026-05-28T17:49:00+00:00,TIME,34.735,69.47,"session_vol: in window (14.82h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-05-29T14:00:00+00:00,BUY,4529.44,4517.04,4547.41,4547.16,2026-05-29T14:02:00+00:00,TP,17.72,35.44,"session_vol: in window (14.00h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-29T14:54:00+00:00,BUY,4552.905,4526.16,4592.4,4592.15,2026-05-29T15:11:00+00:00,TP,39.245,78.49,"session_vol: in window (14.90h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-01T14:00:00+00:00,SELL,4462.26,4503.985,4400.3,4480.01,2026-06-01T17:00:00+00:00,TIME,-17.75,-35.5,"session_vol: in window (14.00h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-03T13:44:00+00:00,SELL,4445.625,4466.205,4415.38,4439.37,2026-06-03T16:44:00+00:00,TIME,6.255,12.51,"session_vol: in window (13.73h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-04T13:39:00+00:00,BUY,4510.555,4500.31,4525.3,4500.06,2026-06-04T13:54:00+00:00,SL,-10.495,-20.99,"session_vol: in window (13.65h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-05T13:34:00+00:00,SELL,4399.835,4421.235,4368.36,4368.61,2026-06-05T13:59:00+00:00,TP,31.225,62.45,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-06-05T14:00:00+00:00,SELL,4406.375,4372.32,3852.42,4372.57,2026-06-05T15:00:00+00:00,TRAIL,33.805,67.61,"trending: trend=TRENDING, h4_bias=short"
SESSION_BREAKOUT,2026-06-05T14:34:00+00:00,SELL,4352.805,4379.45,4313.46,4343.53,2026-06-05T17:34:00+00:00,TIME,9.275,18.55,"session_vol: in window (14.57h UTC), vol=HIGH"
KRONOS_S96_H1_MOMENTUM,2026-06-05T15:01:00+00:00,SELL,4365.505,4344.165,3720.96,4321.565,2026-06-07T22:04:00+00:00,TIME,43.94,87.88,"trending: trend=TRENDING, h4_bias=short"
SESSION_BREAKOUT,2026-06-08T07:59:00+00:00,SELL,4294.765,4316.96,4262.1,4302.44,2026-06-08T10:59:00+00:00,TIME,-7.675,-15.35,"session_vol: in window (7.98h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-09T15:00:00+00:00,SELL,4305.55,4336.22,4260.17,4260.42,2026-06-09T16:14:00+00:00,TP,45.13,90.26,"session_vol: in window (15.00h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-06-10T02:14:00+00:00,SELL,4188.45,4213.945,3361.18,4214.195,2026-06-10T06:06:00+00:00,TRAIL,-25.745,-51.49,"trending: trend=TRENDING, h4_bias=short"
SESSION_BREAKOUT,2026-06-10T07:34:00+00:00,SELL,4193.315,4208.14,4171.7,4171.95,2026-06-10T08:03:00+00:00,TP,21.365,42.73,"session_vol: in window (7.57h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-12T13:39:00+00:00,BUY,4207.06,4186.595,4237.13,4186.345,2026-06-12T13:41:00+00:00,SL,-20.715,-41.43,"session_vol: in window (13.65h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-12T14:54:00+00:00,BUY,4199.84,4182.835,4224.72,4224.47,2026-06-12T15:24:00+00:00,TP,24.63,49.26,"session_vol: in window (14.90h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-15T07:54:00+00:00,BUY,4319.245,4305.41,4339.37,4339.12,2026-06-15T08:33:00+00:00,TP,19.875,39.75,"session_vol: in window (7.90h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-15T13:34:00+00:00,BUY,4356.255,4341.32,4378.03,4341.07,2026-06-15T16:23:00+00:00,SL,-15.185,-30.37,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-19T13:39:00+00:00,SELL,4161.825,4183.125,4130.5,4152.33,2026-06-19T16:39:00+00:00,TIME,9.495,18.99,"session_vol: in window (13.65h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-22T07:24:00+00:00,SELL,4196.91,4201.58,4190.53,4190.78,2026-06-22T07:54:00+00:00,TP,6.13,12.26,"session_vol: in window (7.40h UTC), vol=HIGH"
KRONOS_S95_SESSION_BREAKOUT,2026-06-22T09:04:00+00:00,BUY,4202.48,4197.12,4209.89,4209.64,2026-06-22T09:33:00+00:00,TP,7.16,14.32,"session_vol: in window (9.07h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-22T13:49:00+00:00,BUY,4197.38,4185.59,4214.44,4185.34,2026-06-22T15:35:00+00:00,SL,-12.04,-24.08,"session_vol: in window (13.82h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-23T07:44:00+00:00,SELL,4109.83,4124.92,4087.82,4125.17,2026-06-23T10:00:00+00:00,SL,-15.34,-30.68,"session_vol: in window (7.73h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-23T14:34:00+00:00,SELL,4128.59,4145.215,4104.28,4130.33,2026-06-23T17:34:00+00:00,TIME,-1.74,-3.48,"session_vol: in window (14.57h UTC), vol=HIGH"
KRONOS_S95_SESSION_BREAKOUT,2026-06-24T07:24:00+00:00,SELL,4085.015,4090.94,4076.75,4077.0,2026-06-24T07:37:00+00:00,TP,8.015,16.03,"session_vol: in window (7.40h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-24T07:34:00+00:00,SELL,4083.035,4090.845,4071.94,4072.19,2026-06-24T09:09:00+00:00,TP,10.845,21.69,"session_vol: in window (7.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-24T14:44:00+00:00,SELL,4014.185,4041.025,3974.55,3984.58,2026-06-24T17:44:00+00:00,TIME,29.605,59.21,"session_vol: in window (14.73h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-25T07:49:00+00:00,SELL,3973.34,3989.765,3949.33,3990.015,2026-06-25T08:00:00+00:00,SL,-16.675,-33.35,"session_vol: in window (7.82h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-06-25T14:34:00+00:00,BUY,4028.665,3999.17,4072.28,4031.805,2026-06-25T17:34:00+00:00,TIME,3.14,6.28,"session_vol: in window (14.57h UTC), vol=HIGH"
KRONOS_S95_SESSION_BREAKOUT,2026-06-26T08:04:00+00:00,SELL,4026.305,4034.03,4015.34,4034.28,2026-06-26T08:18:00+00:00,SL,-7.975,-15.95,"session_vol: in window (8.07h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-26T08:34:00+00:00,BUY,4034.75,4026.71,4046.18,4045.93,2026-06-26T09:19:00+00:00,TP,11.18,22.36,"session_vol: in window (8.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-26T13:54:00+00:00,BUY,4066.38,4043.23,4100.48,4085.205,2026-06-26T16:54:00+00:00,TIME,18.825,37.65,"session_vol: in window (13.90h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-29T07:34:00+00:00,BUY,4063.47,4056.09,4073.91,4055.84,2026-06-29T08:44:00+00:00,SL,-7.63,-15.26,"session_vol: in window (7.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-29T07:54:00+00:00,BUY,4066.735,4056.185,4081.94,4055.935,2026-06-29T08:44:00+00:00,SL,-10.8,-21.6,"session_vol: in window (7.90h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-29T08:45:00+00:00,SELL,4055.515,4062.94,4045.0,4045.25,2026-06-29T08:58:00+00:00,TP,10.265,20.53,"session_vol: in window (8.75h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-29T13:34:00+00:00,SELL,4037.62,4051.935,4016.77,4017.02,2026-06-29T14:06:00+00:00,TP,20.6,41.2,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-30T07:24:00+00:00,BUY,4031.2,4023.68,4041.85,4023.43,2026-06-30T08:12:00+00:00,SL,-7.77,-15.54,"session_vol: in window (7.40h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-30T08:34:00+00:00,SELL,4023.195,4030.16,4013.37,4013.62,2026-06-30T09:31:00+00:00,TP,9.575,19.15,"session_vol: in window (8.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-01T14:00:00+00:00,BUY,4047.56,4012.865,4098.98,4098.73,2026-07-01T14:01:00+00:00,TP,51.17,102.34,"session_vol: in window (14.00h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-01T14:34:00+00:00,BUY,4107.09,4082.925,4142.71,4082.675,2026-07-01T15:11:00+00:00,SL,-24.415,-48.83,"session_vol: in window (14.57h UTC), vol=NORMAL"
