entry_time,exit_time,strategy,side,outcome,entry_px,exit_px,pnl_pts,pnl_usd
2026-04-19 23:55:00+00:00,2026-04-20 01:23:00+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,TP,4752.759999999999,4795.660000000001,42.900000000001455,429.00000000001455
2026-04-20 02:11:00+00:00,2026-04-20 03:19:05+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4801.685,4790.11,11.575000000000728,115.75000000000728
2026-04-20 04:38:00+00:00,2026-04-20 04:40:35+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4788.285000000001,4791.87,-3.584999999999127,-35.84999999999127
2026-04-20 04:41:00+00:00,2026-04-20 05:13:25+00:00,KRONOS_S100_M3_COMBO,SELL,TP,4790.175,4785.54,4.635000000000218,46.35000000000218
2026-04-20 05:49:00+00:00,2026-04-20 05:54:10+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4785.34,4790.11,-4.769999999999527,-47.69999999999527
2026-04-20 06:26:00+00:00,2026-04-20 06:30:35+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4784.275000000001,4789.469999999999,-5.1949999999987995,-51.949999999987995
2026-04-20 06:31:00+00:00,2026-04-20 06:56:25+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4787.990000000001,4792.599999999999,-4.609999999998763,-46.09999999998763
2026-04-20 07:10:00+00:00,2026-04-20 07:18:30+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4795.175,4802.639999999999,-7.464999999999236,-74.64999999999236
2026-04-20 07:06:00+00:00,2026-04-20 07:21:30+00:00,KRONOS_S99_MSS_FVG,BUY,TP,4796.12,4805.040000000001,8.920000000000982,89.20000000000982
2026-04-20 07:25:00+00:00,2026-04-20 07:29:00+00:00,KRONOS_S99_MSS_FVG,BUY,SL,4801.82,4796.39,-5.4299999999993815,-54.29999999999382
2026-04-20 07:38:00+00:00,2026-04-20 07:40:35+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4795.820000000001,4798.29,-2.469999999999345,-24.69999999999345
2026-04-20 07:44:00+00:00,2026-04-20 07:47:50+00:00,KRONOS_S93_FVG_SCALP,SELL,TP,4797.370000000001,4794.049999999999,3.320000000001528,33.20000000001529
2026-04-20 08:12:00+00:00,2026-04-20 08:15:25+00:00,KRONOS_S99_MSS_FVG,SELL,TP,4790.685,4788.23,2.4550000000008367,24.550000000008367
2026-04-20 08:19:00+00:00,2026-04-20 08:21:50+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4788.43,4791.74,-3.3099999999994907,-33.099999999994914
2026-04-20 09:18:00+00:00,2026-04-20 09:21:50+00:00,KRONOS_S93_FVG_SCALP,BUY,TP,4793.75,4794.97,1.2200000000002547,12.200000000002548
2026-04-20 09:55:00+00:00,2026-04-20 10:07:00+00:00,KRONOS_S93_FVG_SCALP,BUY,TP,4790.599999999999,4794.830000000001,4.230000000001382,42.300000000013824
2026-04-20 10:17:00+00:00,2026-04-20 10:18:00+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4798.745000000001,4800.169999999999,-1.424999999998363,-14.249999999983629
2026-04-20 12:11:00+00:00,2026-04-20 12:12:30+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4810.985000000001,4813.259999999999,-2.2749999999987267,-22.74999999998727
2026-04-20 12:03:00+00:00,2026-04-20 12:18:30+00:00,KRONOS_S93_FVG_SCALP,BUY,TP,4807.509999999999,4813.31,5.800000000001091,58.00000000001092
2026-04-20 12:03:00+00:00,2026-04-20 12:18:30+00:00,KRONOS_S99_MSS_FVG,BUY,TP,4807.509999999999,4813.31,5.800000000001091,58.00000000001092
2026-04-20 13:08:00+00:00,2026-04-20 13:29:25+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4811.5,4823.429999999999,-11.929999999999382,-119.29999999999382
2026-04-20 13:22:00+00:00,2026-04-20 13:30:35+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4819.74,4825.6,5.860000000000582,58.60000000000583
2026-04-20 13:31:00+00:00,2026-04-20 13:36:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4819.695,4824.22,4.525000000000546,45.25000000000546
2026-04-20 14:10:00+00:00,2026-04-20 14:20:05+00:00,KRONOS_S93_FVG_SCALP,BUY,TP,4809.794999999999,4818.67,8.87500000000091,88.7500000000091
2026-04-20 14:10:00+00:00,2026-04-20 14:20:05+00:00,KRONOS_S99_MSS_FVG,BUY,TP,4809.794999999999,4818.67,8.87500000000091,88.7500000000091
