entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_dollars,is_equal,session_date
2026-04-30 12:17:00+00:00,BUY,4629.49,4628.49,4631.9,4631.9,2026-04-30 12:18:00,TP,2.41,False,2026-04-30
2026-04-30 12:19:00+00:00,SELL,4631.64,4632.64,4628.85,4632.64,2026-04-30 12:20:00,SL,-1.0,False,2026-04-30
2026-04-30 12:21:00+00:00,SELL,4636.62,4637.62,4635.12,4635.12,2026-04-30 12:22:00,TP,1.5,False,2026-04-30
2026-04-30 12:26:00+00:00,SELL,4631.87,4632.87,4630.37,4630.37,2026-04-30 12:27:00,TP,1.5,False,2026-04-30
2026-04-30 12:31:00+00:00,SELL,4632.26,4633.26,4630.74,4633.26,2026-04-30 12:32:00,SL,-1.0,False,2026-04-30
2026-04-30 12:37:00+00:00,BUY,4631.36,4630.36,4632.86,4632.86,2026-04-30 12:38:00,TP,1.5,False,2026-04-30
2026-04-30 12:53:00+00:00,SELL,4632.96,4633.96,4631.46,4633.96,2026-04-30 12:54:00,SL,-1.0,False,2026-04-30
2026-04-30 13:13:00+00:00,BUY,4639.29,4638.29,4640.79,4640.79,2026-04-30 13:14:00,TP,1.5,False,2026-04-30
2026-04-30 13:21:00+00:00,BUY,4636.81,4635.81,4638.31,4635.81,2026-04-30 13:22:00,SL,-1.0,False,2026-04-30
2026-04-30 13:22:00+00:00,BUY,4637.11,4636.11,4639.08,4636.11,2026-04-30 13:23:00,SL,-1.0,False,2026-04-30
2026-04-30 13:24:00+00:00,BUY,4635.47,4634.47,4636.97,4634.47,2026-04-30 13:26:00,SL,-1.0,False,2026-04-30
2026-04-30 14:06:00+00:00,SELL,4621.74,4622.74,4620.31,4622.74,2026-04-30 14:07:00,SL,-1.0,False,2026-04-30
2026-04-30 14:12:00+00:00,SELL,4617.69,4618.69,4616.27,4618.69,2026-04-30 14:13:00,SL,-1.0,False,2026-04-30
2026-04-30 14:20:00+00:00,SELL,4621.3,4622.3,4619.8,4622.3,2026-04-30 14:21:00,SL,-1.0,False,2026-04-30
2026-04-30 14:23:00+00:00,SELL,4623.39,4624.39,4621.89,4624.39,2026-04-30 14:24:00,SL,-1.0,True,2026-04-30
2026-04-30 14:29:00+00:00,SELL,4623.11,4624.11,4621.61,4621.61,2026-04-30 14:30:00,TP,1.5,False,2026-04-30
