strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
OB_MIT,2026-05-07 11:51:00+00:00,SELL,4737.26,4740.06,4731.66,4740.06,2026-05-07 11:55:00,SL,-2.8,OB_BEAR
BB,2026-05-07 11:53:00+00:00,SELL,4738.72,4741.61,4732.94,4741.61,2026-05-07 11:56:00,SL,-2.89,BB_BEAR
BB,2026-05-07 11:58:00+00:00,BUY,4742.8,4739.66,4749.07,4739.66,2026-05-07 12:02:00,SL,-3.14,BB_BULL
M90_FADE,2026-05-07 12:02:00+00:00,BUY,4740.7,4739.32,4742.97,4742.97,2026-05-07 12:06:00,TP,2.27,M90_FADE_DN
M90_BIAS,2026-05-07 12:02:00+00:00,BUY,4740.7,4739.32,4742.97,4742.97,2026-05-07 12:06:00,TP,2.27,M90_BIAS_BUY
BB,2026-05-07 12:03:00+00:00,BUY,4741.48,4739.66,4745.13,4745.13,2026-05-07 12:11:00,TP,3.65,BB_BULL
M90_FADE,2026-05-07 12:07:00+00:00,BUY,4741.31,4739.32,4742.97,4742.97,2026-05-07 12:10:00,TP,1.66,M90_FADE_DN
M90_BIAS,2026-05-07 12:07:00+00:00,BUY,4741.31,4739.32,4742.97,4742.97,2026-05-07 12:10:00,TP,1.66,M90_BIAS_BUY
BB,2026-05-07 12:08:00+00:00,SELL,4741.02,4741.61,4739.85,4739.85,2026-05-07 12:09:00,TP,1.17,BB_BEAR
M90_FADE,2026-05-07 12:12:00+00:00,SELL,4743.62,4746.34,4742.97,4742.97,2026-05-07 12:15:00,TP,0.65,M90_FADE_UP
BB,2026-05-07 12:13:00+00:00,BUY,4745.07,4743.03,4749.16,4743.03,2026-05-07 12:15:00,SL,-2.04,BB_BULL
M90_FADE,2026-05-07 12:17:00+00:00,SELL,4745.06,4747.56,4742.97,4742.97,2026-05-07 12:19:00,TP,2.09,M90_FADE_UP
BB,2026-05-07 12:18:00+00:00,BUY,4744.53,4743.03,4747.55,4743.03,2026-05-07 12:19:00,SL,-1.5,BB_BULL
M90_BIAS,2026-05-07 12:21:00+00:00,BUY,4740.41,4739.32,4742.97,4739.32,2026-05-07 12:22:00,SL,-1.09,M90_BIAS_BUY
M90_FADE,2026-05-07 12:22:00+00:00,BUY,4736.15,4733.95,4742.97,4733.95,2026-05-07 12:25:00,SL,-2.2,M90_FADE_DN
BB,2026-05-07 12:25:00+00:00,SELL,4736.81,4741.61,4727.21,4741.61,2026-05-07 12:30:00,SL,-4.8,BB_BEAR
M90_BIAS,2026-05-07 12:26:00+00:00,BUY,4738.88,4732.89,4742.97,4742.97,2026-05-07 12:30:00,TP,4.09,M90_BIAS_BUY
M90_FADE,2026-05-07 12:27:00+00:00,BUY,4738.76,4732.89,4742.97,4742.97,2026-05-07 12:30:00,TP,4.21,M90_FADE_DN
BB,2026-05-07 12:30:00+00:00,BUY,4743.76,4743.03,4745.21,4745.21,2026-05-07 12:31:00,TP,1.45,BB_BULL
BB,2026-05-07 12:35:00+00:00,BUY,4744.98,4743.03,4748.89,4748.89,2026-05-07 12:38:00,TP,3.91,BB_BULL
BB,2026-05-07 12:55:00+00:00,BUY,4746.65,4743.03,4753.88,4743.03,2026-05-07 13:00:00,SL,-3.62,BB_BULL
BB,2026-05-07 13:00:00+00:00,BUY,4742.51,4739.66,4748.2,4739.66,2026-05-07 13:04:00,SL,-2.85,BB_BULL
FVG_MID,2026-05-07 13:01:00+00:00,SELL,4741.14,4742.95,4737.51,4742.95,2026-05-07 13:02:00,SL,-1.81,FVG_MID_BEAR
BB,2026-05-07 13:05:00+00:00,SELL,4739.52,4741.61,4735.35,4741.61,2026-05-07 13:06:00,SL,-2.09,BB_BEAR
FVG_MID,2026-05-07 13:06:00+00:00,SELL,4741.25,4742.95,4737.85,4737.85,2026-05-07 13:10:00,TP,3.4,FVG_MID_BEAR
FVG_MID,2026-05-07 13:09:00+00:00,SELL,4741.14,4742.95,4737.52,4737.52,2026-05-07 13:10:00,TP,3.62,FVG_MID_BEAR
BB,2026-05-07 13:10:00+00:00,SELL,4737.13,4741.61,4728.17,4741.61,2026-05-07 13:21:00,SL,-4.48,BB_BEAR
OB_MIT,2026-05-07 13:13:00+00:00,BUY,4731.52,4727.76,4739.03,4739.03,2026-05-07 13:17:00,TP,7.51,OB_BULL
BB,2026-05-07 13:16:00+00:00,SELL,4738.44,4741.61,4732.11,4741.61,2026-05-07 13:21:00,SL,-3.17,BB_BEAR
FVG_MID,2026-05-07 13:18:00+00:00,SELL,4740.0,4742.95,4734.1,4742.95,2026-05-07 13:21:00,SL,-2.95,FVG_MID_BEAR
FVG_MID,2026-05-07 13:21:00+00:00,SELL,4743.19,4745.08,4739.41,4745.08,2026-05-07 13:29:00,SL,-1.89,FVG_MID_BEAR
BB,2026-05-07 13:22:00+00:00,BUY,4743.38,4743.03,4744.08,4743.03,2026-05-07 13:23:00,SL,-0.35,BB_BULL
FVG_MID,2026-05-07 13:25:00+00:00,SELL,4742.93,4745.08,4738.63,4745.08,2026-05-07 13:29:00,SL,-2.15,FVG_MID_BEAR
BB,2026-05-07 13:27:00+00:00,BUY,4744.28,4743.03,4746.78,4746.78,2026-05-07 13:30:00,TP,2.5,BB_BULL
FVG_MID,2026-05-07 13:28:00+00:00,SELL,4744.07,4745.08,4742.06,4745.08,2026-05-07 13:29:00,SL,-1.01,FVG_MID_BEAR
M90_FADE,2026-05-07 13:31:00+00:00,SELL,4748.34,4751.16,4745.19,4751.16,2026-05-07 13:32:00,SL,-2.82,M90_FADE_UP
M90_FADE,2026-05-07 13:36:00+00:00,SELL,4751.94,4758.47,4745.19,4745.19,2026-05-07 13:45:00,TP,6.75,M90_FADE_UP
M90_FADE,2026-05-07 13:41:00+00:00,SELL,4749.62,4758.47,4745.19,4745.19,2026-05-07 13:45:00,TP,4.43,M90_FADE_UP
INDUCEMENT,2026-05-07 13:43:00+00:00,SELL,4751.02,4752.99,4747.08,4747.08,2026-05-07 13:45:00,TP,3.94,INDU_KEY_BSL
FVG_MID,2026-05-07 13:45:00+00:00,SELL,4742.87,4745.08,4738.45,4745.08,2026-05-07 13:46:00,SL,-2.21,FVG_MID_BEAR
M90_FADE,2026-05-07 13:46:00+00:00,SELL,4747.81,4758.47,4745.19,4745.19,2026-05-07 13:47:00,TP,2.62,M90_FADE_UP
M90_BIAS,2026-05-07 13:47:00+00:00,BUY,4741.99,4739.11,4745.19,4739.11,2026-05-07 13:51:00,SL,-2.88,M90_BIAS_BUY
BB,2026-05-07 13:48:00+00:00,BUY,4743.58,4743.03,4744.68,4743.03,2026-05-07 13:49:00,SL,-0.55,BB_BULL
FVG_MID,2026-05-07 13:48:00+00:00,SELL,4743.58,4745.08,4740.58,4740.58,2026-05-07 13:49:00,TP,3.0,FVG_MID_BEAR
FVG_MID,2026-05-07 13:52:00+00:00,BUY,4741.04,4740.24,4742.64,4742.64,2026-05-07 13:53:00,TP,1.6,FVG_MID_BULL
