variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR1,2026-04-28 14:50:00+00:00,BUY,4563.88,4556.45,4578.24,4578.24,2026-04-28 15:00:00,TP,14.36,DYNAMIC_POOL,SSL,False
VAR1,2026-04-28 15:00:00+00:00,SELL,4576.13,4583.1,4570.86,4570.86,2026-04-28 15:10:00,TP,5.27,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 15:10:00+00:00,BUY,4572.7,4569.56,4578.24,4569.56,2026-04-28 15:20:00,SL,-3.14,DYNAMIC_POOL,SSL,False
VAR1,2026-04-28 15:15:00+00:00,BUY,4572.9,4569.02,4578.24,4569.02,2026-04-28 15:20:00,SL,-3.88,DYNAMIC_POOL,SSL,False
VAR1,2026-04-28 15:20:00+00:00,BUY,4571.96,4565.99,4578.24,4578.24,2026-04-28 15:35:00,TP,6.28,DYNAMIC_POOL,SSL,False
VAR1,2026-04-28 15:40:00+00:00,SELL,4578.01,4582.14,4566.99,4582.14,2026-04-28 15:45:00,SL,-4.13,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 18:00:00+00:00,SELL,4594.01,4599.69,4587.28,4599.69,2026-04-28 18:20:00,SL,-5.68,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 19:40:00+00:00,SELL,4598.64,4601.18,4593.8,4593.8,2026-04-28 19:50:00,TP,4.84,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 19:45:00+00:00,SELL,4598.0,4600.39,4593.8,4593.8,2026-04-28 19:50:00,TP,4.2,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 20:35:00+00:00,BUY,4594.6,4592.05,4598.65,4598.65,2026-04-28 22:00:00,TP,4.05,DYNAMIC_POOL,SSL,True
VAR1,2026-04-28 22:15:00+00:00,SELL,4596.77,4598.22,4592.77,4592.77,2026-04-28 22:50:00,TP,4.0,FIXED,BSL,True
VAR1,2026-04-28 22:20:00+00:00,SELL,4596.7,4598.16,4594.24,4594.24,2026-04-28 22:35:00,TP,2.47,DYNAMIC_POOL,BSL,True
VAR1,2026-04-29 04:10:00+00:00,SELL,4600.99,4604.72,4592.4,4604.72,2026-04-29 04:35:00,SL,-3.73,DYNAMIC_POOL,BSL,False
VAR1,2026-04-29 04:35:00+00:00,SELL,4603.14,4606.84,4592.4,4606.84,2026-04-29 05:00:00,SL,-3.7,DYNAMIC_POOL,BSL,False
VAR1,2026-04-29 05:00:00+00:00,SELL,4604.77,4608.73,4597.28,4597.28,2026-04-29 05:30:00,TP,7.49,DYNAMIC_POOL,BSL,False
VAR1,2026-04-29 15:25:00+00:00,BUY,4543.64,4540.52,4547.08,4540.52,2026-04-29 15:30:00,SL,-3.11,DYNAMIC_POOL,SSL,False
VAR1,2026-04-29 19:00:00+00:00,SELL,4537.57,4546.69,4533.57,4533.57,2026-04-29 19:05:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-29 19:05:00+00:00,SELL,4539.18,4542.79,4535.18,4542.79,2026-04-29 19:10:00,SL,-3.61,FIXED,BSL,False
VAR1,2026-04-29 20:00:00+00:00,BUY,4547.47,4541.69,4550.85,4550.85,2026-04-29 20:05:00,TP,3.38,DYNAMIC_POOL,SSL,False
VAR1,2026-04-30 03:15:00+00:00,BUY,4565.73,4562.4,4569.24,4562.4,2026-04-30 03:30:00,SL,-3.33,DYNAMIC_POOL,SSL,False
VAR1,2026-04-30 03:20:00+00:00,BUY,4564.99,4562.33,4569.24,4562.33,2026-04-30 03:30:00,SL,-2.66,DYNAMIC_POOL,SSL,False
VAR1,2026-04-30 05:50:00+00:00,SELL,4565.82,4570.87,4559.94,4570.87,2026-04-30 06:20:00,SL,-5.05,DYNAMIC_POOL,BSL,False
VAR1,2026-04-30 06:25:00+00:00,SELL,4569.63,4572.26,4560.1,4572.26,2026-04-30 06:30:00,SL,-2.63,DYNAMIC_POOL,BSL,False
VAR1,2026-04-30 09:30:00+00:00,SELL,4624.34,4632.93,4614.29,4632.93,2026-04-30 10:20:00,SL,-8.59,DYNAMIC_POOL,BSL,False
VAR1,2026-04-30 11:15:00+00:00,BUY,4635.92,4632.62,4647.05,4632.62,2026-04-30 11:25:00,SL,-3.3,DYNAMIC_POOL,SSL,False
VAR1,2026-04-30 11:20:00+00:00,BUY,4636.84,4632.87,4645.96,4632.87,2026-04-30 11:25:00,SL,-3.97,DYNAMIC_POOL,SSL,False
VAR1,2026-04-30 11:25:00+00:00,BUY,4637.88,4629.61,4645.96,4629.61,2026-04-30 11:30:00,SL,-8.27,DYNAMIC_POOL,SSL,False
