created_at,action,reason,strategy_name
2026-07-17 21:00:07.929152+00:00,PAUSE,trend: market closed | d1=ranging h4=short vol=LOW trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-17 21:00:07.940092+00:00,PAUSE,reversal: market closed | d1=ranging h4=short vol=LOW trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-17 21:00:07.947670+00:00,PAUSE,scalping: market closed | d1=ranging h4=short vol=LOW trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-19 22:00:07.770922+00:00,START,trend: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-19 22:00:07.788684+00:00,START,trend: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=MIXED session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-19 22:00:07.804483+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-19 22:00:07.862519+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=short vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-20 01:00:08.349346+00:00,START,"trend: session_vol: in window (1.00h UTC), vol=NORMAL | d1=ranging h4=short vol=NORMAL trend=RANGING session=ASIA closed=False",
2026-07-20 02:00:07.428226+00:00,PAUSE,trend: session_vol: outside windows (2.00h UTC) | d1=ranging h4=short vol=NORMAL trend=RANGING session=ASIA closed=False,
2026-07-20 12:00:08.133396+00:00,START,"trend: session_vol: in window (12.00h UTC), vol=NORMAL | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=LONDON closed=False",
2026-07-20 15:00:09.296796+00:00,PAUSE,trend: session_vol: outside windows (15.00h UTC) | d1=ranging h4=neutral vol=LOW trend=RANGING session=OVERLAP closed=False,
2026-07-20 21:00:08.100079+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-20 21:00:08.105357+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-20 21:00:08.111522+00:00,PAUSE,reversal: market closed | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-20 21:00:08.117172+00:00,PAUSE,scalping: market closed | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-20 22:00:08.451296+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-20 22:00:08.468859+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-20 22:00:08.493284+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-20 22:00:08.546502+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=neutral vol=LOW trend=RANGING session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-21 21:00:08.529257+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=LOW trend=MIXED session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-21 21:00:08.534557+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=LOW trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-21 21:00:08.545366+00:00,PAUSE,reversal: market closed | d1=ranging h4=neutral vol=LOW trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-21 21:00:08.550035+00:00,PAUSE,scalping: market closed | d1=ranging h4=neutral vol=LOW trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-22 00:00:09.242436+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=LOW trend=MIXED session=ASIA closed=False,S94 Sweep Reversal
2026-07-22 00:00:09.255898+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=LOW trend=MIXED session=ASIA closed=False,Challenge XAU H4 Trend
2026-07-22 00:00:09.273897+00:00,START,reversal: always_on: regime-independent | d1=bearish h4=neutral vol=LOW trend=MIXED session=ASIA closed=False,S99 MSS FVG Reversal
