label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s99_sell_c0.75,s99_mss_fvg,mid_M1,1.0,900,-676.4,0.776,41.8,429,-260.3,0.766,471,-416.2,0.781,-774.3,10,0.3,,0.27,-282.6,-393.8,True,False,False,False,True,
s99_sell_c0.75,s99_mss_fvg,quote_S5,0.45,900,-499.4,0.826,37.2,429,-171.9,0.834,471,-327.6,0.822,-669.8,10,0.6,,0.2,-201.3,-298.1,True,False,False,False,True,0.0
s99_sell_c0.75,s99_mss_fvg,quote_S5,0.7,900,-724.4,0.76,37.2,429,-279.1,0.748,471,-445.3,0.767,-848.5,10,0.2,,0.21,-345.3,-379.1,True,False,False,False,True,0.0
s99_sweepn24_c0.75,s99_mss_fvg,mid_M1,0.75,1662,-887.7,0.825,41.9,811,-394.9,0.792,851,-492.8,0.845,-957.5,10,0.3,,0.28,-431.0,-456.6,True,False,False,False,True,
s99_sweepn24_c0.75,s99_mss_fvg,mid_M1,1.0,1662,-1303.2,0.755,41.8,811,-597.7,0.704,851,-705.5,0.787,-1351.5,10,0.1,,0.28,-709.8,-593.4,True,False,False,False,True,
s99_sweepn24_c0.75,s99_mss_fvg,quote_S5,0.45,1662,-950.8,0.812,37.9,811,-345.6,0.812,851,-605.2,0.811,-1014.8,10,0.2,,0.25,-456.8,-494.0,True,False,False,False,True,0.0
s99_sweepn24_c0.75,s99_mss_fvg,quote_S5,0.7,1662,-1366.3,0.743,37.9,811,-548.4,0.722,851,-817.9,0.755,-1416.2,10,0.1,,0.25,-735.5,-630.8,True,False,False,False,True,0.0
s99_sweepn96_c0.75,s99_mss_fvg,mid_M1,0.75,1998,-1018.4,0.831,42.0,968,-424.4,0.81,1030,-594.0,0.843,-1104.5,10,0.2,,0.38,-443.0,-575.4,True,False,False,False,True,
s99_sweepn96_c0.75,s99_mss_fvg,mid_M1,1.0,1998,-1517.9,0.759,41.9,968,-666.4,0.72,1030,-851.5,0.783,-1587.3,10,0.0,,0.38,-778.5,-739.4,True,False,False,False,True,
s99_sweepn96_c0.75,s99_mss_fvg,quote_S5,0.45,1998,-1077.5,0.819,38.0,968,-407.1,0.814,1030,-670.4,0.822,-1176.2,10,0.3,,0.31,-501.2,-576.3,True,False,False,False,True,0.0
