subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
survivors,B5,q,0.45,TEST,1441,1388,-0.0122,0.8525,-0.1397,0.1406,-0.1141,0.245,-0.0649,0.522
survivors,B6,q,0.45,TEST,1028,1612,-0.0095,0.8925,-0.1391,0.1443,-0.0462,0.649,0.0062,0.949
survivors,C2,q,0.45,TEST,1479,1350,0.0502,0.4905,-0.1328,0.1363,,,,
survivors,B1,q,0.7,ALL,3591,3210,0.038,0.3675,-0.0766,0.0853,0.0756,0.203,-0.0233,0.71
survivors,B2,q,0.7,ALL,2646,4963,0.0189,0.6255,-0.075,0.0802,-0.0577,0.321,0.1063,0.05
survivors,B3,q,0.7,ALL,5816,1792,-0.0903,0.023,-0.0815,0.0755,-0.0287,0.584,-0.1593,0.01
survivors,B4,q,0.7,ALL,3528,3420,0.1113,0.006,-0.0863,0.0811,0.2085,0.0,0.002,0.975
survivors,B5,q,0.7,ALL,3882,3727,0.0116,0.778,-0.078,0.0763,0.0334,0.557,-0.1249,0.026
survivors,B6,q,0.7,ALL,2751,4303,-0.0002,0.9975,-0.0811,0.0802,0.0338,0.591,-0.065,0.261
survivors,C2,q,0.7,ALL,3944,3594,0.049,0.193,-0.0736,0.0738,,,,
survivors,B1,q,0.7,TRAIN,2269,2001,0.0186,0.7015,-0.0953,0.0995,0.0862,0.21,-0.0701,0.37
survivors,B2,q,0.7,TRAIN,1659,3121,0.0268,0.554,-0.0893,0.0958,-0.0716,0.263,0.1257,0.063
survivors,B3,q,0.7,TRAIN,3652,1127,-0.069,0.155,-0.0889,0.096,0.0183,0.777,-0.1634,0.02
survivors,B4,q,0.7,TRAIN,2250,2081,0.1511,0.0015,-0.0912,0.0967,0.2276,0.002,0.066,0.34
survivors,B5,q,0.7,TRAIN,2441,2339,0.0257,0.567,-0.094,0.0893,0.1034,0.114,-0.1434,0.034
survivors,B6,q,0.7,TRAIN,1723,2691,0.0046,0.9235,-0.0922,0.0952,0.0711,0.318,-0.087,0.193
survivors,C2,q,0.7,TRAIN,2465,2244,0.0465,0.335,-0.096,0.0922,,,,
survivors,B1,q,0.7,TEST,1322,1209,0.0713,0.358,-0.1537,0.1413,0.0397,0.729,0.0874,0.411
survivors,B2,q,0.7,TEST,987,1842,0.0064,0.9325,-0.1431,0.1359,-0.0239,0.828,0.0658,0.455
survivors,B3,q,0.7,TEST,2164,665,-0.1285,0.076,-0.1475,0.137,-0.1028,0.344,-0.1571,0.125
survivors,B4,q,0.7,TEST,1278,1339,0.0562,0.4255,-0.1374,0.1393,0.2104,0.044,-0.1081,0.31
survivors,B5,q,0.7,TEST,1441,1388,-0.0132,0.854,-0.1436,0.1477,-0.1149,0.257,-0.0607,0.56
survivors,B6,q,0.7,TEST,1028,1612,-0.011,0.89,-0.1407,0.1377,-0.0454,0.686,0.0026,0.984
survivors,C2,q,0.7,TEST,1479,1350,0.0478,0.495,-0.1296,0.1415,,,,
non_survivors,B1,mid,0.75,ALL,17199,16937,0.0235,0.248,-0.0412,0.0372,0.0432,0.09,-0.0061,0.825
non_survivors,B2,mid,0.75,ALL,17304,20609,0.0038,0.843,-0.04,0.0397,0.0331,0.173,-0.002,0.945
non_survivors,B3,mid,0.75,ALL,21659,16252,-0.0073,0.698,-0.0392,0.0387,0.0177,0.501,-0.0409,0.087
non_survivors,B4,mid,0.75,ALL,17658,17178,0.0254,0.2075,-0.0396,0.0396,0.0289,0.294,0.0147,0.595
non_survivors,B5,mid,0.75,ALL,19687,18227,-0.0031,0.8665,-0.0388,0.0393,-0.0473,0.059,-0.0176,0.508
non_survivors,B6,mid,0.75,ALL,9672,26082,0.0202,0.25,-0.0351,0.0346,0.0397,0.122,-0.028,0.26
